"";"place_name";"place_with_parent_names";"geonames_id";"lat.lon";"price";"currency";"price_aprox_local_currency";"price_aprox_usd";"surface_in_m2";"price_usd_per_m2";"floor";"rooms";"expenses";"title";"extra";"surface_total_in_m2";"surface_covered_in_m2";"price_per_m2";"id";"country_name";"state_name";"year"
"1993";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.639558,-58.432528";70000;"USD";604394;70000;"30";2333,333333;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1994";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.633913,-58.429919";81000;"USD";661284;81000;"70";1157,142857;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1995";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.635892,-58.431037";85000;"USD";714170;85000;"49";1734,693878;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1996";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.634104,-58.446363";96000;"USD";805056;96000;"59";1627,118644;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1997";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.63076,-58.436633";73000;"USD";636538,1;73000;"38";1921,052632;"NA";"2";"NA";"DEPARTAMENTO EN VENTA";"{\\apto_profesional\\:true,\\images\\:[\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_2.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_3.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_4.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_5.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_6.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_7.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_8.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_9.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_10.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/GAC/GAC273_11.jpg\\],\\original_ad\\:{\\pisos\\:\\3\\,\\expensas\\:\\500\\},\\address\\:\\SAN JOSE DE CALASANZ al 1000\\,\\year\\:0,\\videos\\:[],\\condition\\:\\Muy Bueno\\,\\original_url\\:\\http://www.amaira.com/ficha/GAC273/departamento-amaira-parque-chacabuco-capital-federal\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1998";"Balvanera";"|Argentina|Capital Federal|Balvanera|";"6693228";"-34.6415037,-58.4311443";42900;"USD";374075,13;42900;"23";1865,217391;"NA";"NA";"NA";"1 Amb., Lateral, 23m2, 3 piso por escalera.-";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/840/61134/439051.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/840/61134/439053.jpg\\],\\propertyCode\\:\\840-01-0058\\,\\lastUpdate\\:\\2014-07-30T20:17:02+0000\\,\\address\\:\\\\,\\year\\:0,\\videos\\:[],\\condition\\:\\\\,\\original_url\\:\\\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1999";"Caballito";"|Argentina|Capital Federal|Caballito|";"3435874";"-34.633354,-58.449205";135000;"USD";1075383;135000;"80";1687,5;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2000";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6395577,-58.4325278";75000;"USD";677595;75000;"35";2142,857143;"NA";"2";"NA";"P.CHACABUCO VENTA DPTO 2AMB.AV.DEL BARCO CENTENERA 1900 2 8";"{\\images\\:[\\http://www.inmomap.com.ar/fotos/1408711266_1408711266f8222c44c67843e08c7ebb1ace227657.JPG\\,\\http://www.inmomap.com.ar/fotos/1408711283_14087112835db5524b30ac030cb9998b0924c6bb30.jpg\\,\\http://www.inmomap.com.ar/fotos/1408711297_14087112979610ad903c83d7867f9d768b9257b59b.jpg\\],\\parking\\:true,\\original_ad\\:{\\latitude\\:\\-34.6395577\\,\\longitude\\:\\-58.4325278\\},\\address\\:\\Av.del Barco Centenera  1900\\,\\original_url\\:\\http://www.tuportalonline.com/propiedades/parque-chacabuco-venta-departamento-2-ambientes-11967\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2001";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.641096,-58.427394";287000;"USD";2296918,4;287000;"285";1007,017544;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2002";"Caballito";"|Argentina|Capital Federal|Caballito|";"3435874";"-34.630679,-58.447982";75000;"USD";604462,5;75000;"55";1363,636364;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2003";"Flores";"|Argentina|Capital Federal|Flores|";"3433918";"-34.634036,-58.450587";128500;"USD";1007851,2;128500;"80";1606,25;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2004";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.635892,-58.431037";80000;"USD";682752;80000;"52";1538,461538;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2005";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.634425,-58.446786";115000;"USD";926842,5;115000;"71";1619,71831;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2006";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.635702,-58.429758";65000;"USD";554736;65000;"30";2166,666667;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2007";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.634911,-58.432547";85000;"USD";685057,5;85000;"55";1545,454545;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2008";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.63335,-58.426854";145000;"USD";1137264;145000;"100";1450;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2009";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.636742,-58.436452";129000;"USD";1039675,5;129000;"81";1592,592593;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2010";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6408443585,-58.4400025762";138000;"USD";1246774,8;138000;"125";1104;"NA";"3";"NA";"PH EN VENTA";"{\\images\\:[\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_2.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_3.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_4.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_5.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_6.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_7.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_8.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_9.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_10.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/MMO/MMO1829_11.jpg\\],\\original_ad\\:{\\medidas\\:{\\medida\\:[{\\ambiente\\:\\Living\\,\\valor\\:\\7.2 x 3.5\\},{\\ambiente\\:\\Banos\\,\\valor\\:\\(2)\\},{\\ambiente\\:\\Cocina\\,\\valor\\:\\Americana\\},{\\ambiente\\:\\1Âº Dormitorio\\,\\valor\\:\\4.5 x 3.5\\},{\\ambiente\\:\\2Âº Dormitorio\\,\\valor\\:\\4.5 x 3.5\\},{\\ambiente\\:\\Lavadero\\,\\valor\\:\\Independiente\\},{\\ambiente\\:\\Placards\\,\\valor\\:\\Si\\},{\\ambiente\\:\\Patio\\,\\valor\\:\\y Jardin     7.2 x 9\\}]},\\calefaccion\\:\\Individual\\,\\cochera\\:\\No\\,\\pisos\\:\\1\\,\\departamentos\\:\\No\\,\\expensas\\:\\NO\\},\\address\\:\\HORTIGUERA al 1800\\,\\condition\\:\\Estrenar\\,\\original_url\\:\\http://www.amaira.com/ficha/MMO1829/ph-amaira-parque-chacabuco-capital-federal\\,\\dupe_of\\:1113988}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2011";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.635702,-58.429758";73000;"USD";612178;73000;"36";2027,777778;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"2012";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.629238,-58.432996";105000;"USD";965832;105000;"49";2142,857143;"NA";"2";"NA";"IncreÃ­ble 1 AMB divisible al frente con amenities a estrenar.";"{\\images\\:[\\http://services.neoinmuebles.com/i/gbln/feed/628.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/629.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/641.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/642.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/643.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/644.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/645.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/646.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/647.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/630.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/631.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/632.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/633.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/634.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/635.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/636.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/637.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/638.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/639.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/648.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/640.jpg\\],\\features\\:{\\Luminosidad\\:\\10\\,\\Estado del inmueble\\:\\A estrenar\\,\\Categoria de Edificio\\:\\Muy buena\\,\\Estado del Edificio\\:\\Excelente\\,\\AntigÃ¼edad\\:\\A Estrenar\\,\\Unidades por piso\\:\\7\\},\\address\\:\\Zuviria 463 Piso 7Â° Dto. D\\,\\original_url\\:\\http://services.neoinmuebles.com/r/www.go-building.com.ar/propiedades/37\\,\\original_ad\\:{\\original_property_type\\:\\Apartment\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2015
"2013";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6313416581,-58.432576529";115000;"USD";1057816;115000;"65";1769,230769;"NA";"NA";"NA";"PH Reciclado";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/815/77940/604200.jpg\\],\\propertyCode\\:\\815-CS741104\\,\\lastUpdate\\:\\2015-04-17T16:29:47+0000\\,\\address\\:\\Estrada al 400\\,\\original_ad\\:{\\original_property_type\\:\\PH\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2015
"2014";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.629238,-58.432996";107000;"USD";984228,8;107000;"48";2229,166667;"NA";"2";"NA";"2 AMB al contrafrente con amenities a estrenar. OPORTUNIDAD";"{\\images\\:[\\http://services.neoinmuebles.com/i/gbln/feed/564.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/565.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/576.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/577.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/578.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/584.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/579.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/580.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/581.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/566.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/567.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/568.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/569.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/570.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/571.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/572.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/573.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/574.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/575.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/583.jpg\\,\\http://services.neoinmuebles.com/i/gbln/feed/582.jpg\\],\\features\\:{\\Luminosidad\\:\\10\\,\\Estado del inmueble\\:\\A estrenar\\,\\Categoria de Edificio\\:\\Muy buena\\,\\Estado del Edificio\\:\\Excelente\\,\\AntigÃ¼edad\\:\\A Estrenar\\,\\Unidades por piso\\:\\7\\},\\address\\:\\Zuviria 463 Piso 6Â° Dto. F\\,\\original_url\\:\\http://services.neoinmuebles.com/r/www.go-building.com.ar/propiedades/34\\,\\original_ad\\:{\\original_property_type\\:\\Apartment\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2015
"2015";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6300562227,-58.4410283829";168000;"USD";1517812,8;168000;"86";1953,488372;"8";"NA";"NA";"DEPARTAMENTO EN VENTA";"{\\images\\:[\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_2.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_3.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_4.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_5.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_6.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_7.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_8.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_9.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_10.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_11.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_12.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_13.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_14.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_15.jpg\\,\\http://www.amaira.com.ar/buscador/imagenes/LEP/LEP4130_16.jpg\\],\\original_ad\\:{\\entre_calle_1\\:\\Av. Eva Peron\\,\\entre_calle_2\\:\\ZUVIRIA\\,\\medidas\\:{\\medida\\:[{\\ambiente\\:\\Banos\\,\\valor\\:\\1 completo\\},{\\ambiente\\:\\Cocina\\,\\valor\\:\\integrada\\},{\\ambiente\\:\\Lavadero\\,\\valor\\:\\si\\},{\\ambiente\\:\\Balcon\\,\\valor\\:\\4.50x2.20\\},{\\ambiente\\:\\Otros\\,\\valor\\:\\terraza 3.50x3.50\\}]},\\calefaccion\\:\\aire caliente\\,\\pisos\\:\\7\\},\\address\\:\\CACHIMAYO al 800\\,\\videos\\:[\\E\\],\\condition\\:\\Estrenar\\,\\original_url\\:\\http://www.amaira.com/ficha/LEP4130/departamento-amaira-parque-chacabuco-capital-federal\\}";"NA";"NA";"NA";"NA";"NA";"NA";2015
"2016";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6349106,-58.4325473";65000;"USD";630545,5;65000;"NA";1710,526316;"NA";"2";NA;"PARQUE CHACABUCO VENTA DPTO 2 AMB.AV.J.M.MORENO AL 1400 13";"{\\images\\:[\\http://www.inmomap.com.ar/fotos/1448031008_1448031008f3ccdd27d2000e3f9255a7e3e2c48800.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031015_1448031015156005c5baf40ff51a327f1c34f2975b.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031022_1448031022799bad5a3b514f096e69bbc4a7896cd9.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031029_1448031029d0096ec6c83575373e3a21d129ff8fef.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031037_1448031037032b2cc936860b03048302d991c3498f.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031049_1448031049f3ccdd27d2000e3f9255a7e3e2c48800.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031059_1448031059156005c5baf40ff51a327f1c34f2975b.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031073_1448031073032b2cc936860b03048302d991c3498f.jpg\\,\\http://www.inmomap.com.ar/fotos/1448031100_1448031100d75ae8008f10fbc4c7dd3997108774d6.JPG\\],\\features\\:{\\CANTIDAD DE PLANTAS 1\\:true,\\ANTIGUEDAD : 0\\:true},\\is_new\\:true,\\parking\\:true,\\original_ad\\:{\\original_property_type\\:\\ph\\},\\address\\:\\Av. Jose Maria Moreno 1?3 1400\\,\\year\\:2013,\\original_url\\:\\http://www.tuportalonline.com/propiedades/parque-chacabuco-venta-ph-2-ambientes-11111\\,\\places_array\\:[\\CABA\\,\\Parque Chacabuco\\]}";"38";"35";"1857.142857";"NA";"NA";"NA";2015
"2017";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6359211167,-58.4417312671";160000;"USD";1508176;160000;"77";2077,922078;"7";"3";"NA";"DEPARTAMENTO EN VENTA";"{\\address\\:\\ASAMBLEA, AVDA. al 1200\\,\\year\\:40,\\condition\\:\\Muy Bueno\\,\\original_url\\:\\http://www.amaira.com/ficha/NUE1913/departamento-amaira-parque-chacabuco-capital-federal\\,\\images\\:[\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_2.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_3.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_4.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_5.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_6.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_7.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_8.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_9.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_10.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_11.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_12.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_13.jpg?1443659255\\,\\http://www.amaira.com.ar/buscador/imagenes/NUE/NUE1913_14.jpg?1443659255\\],\\features\\:{\\Pisos\\:\\9\\,\\Departamentos\\:\\1\\,\\Amoblado\\:\\N\\,\\Apto profesional\\:\\no\\,\\Baulera\\:\\1\\,\\Calefaccion\\:\\Calefactores\\,\\Cochera\\:\\1\\,\\Dependencia\\:\\no\\},\\original_ad\\:{\\amoblado\\:\\N\\,\\calefaccion\\:\\Calefactores\\,\\baulera\\:\\1\\,\\dependencia\\:\\no\\,\\cochera\\:\\1\\,\\pisos\\:\\9\\,\\departamentos\\:\\1\\,\\apto_profesional\\:\\no\\,\\original_property_type\\:\\DEPARTAMENTO\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2015
"2018";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.639544,-58.4325537";80000;"USD";754088;80000;"55";1454,545455;"NA";"2";"NA";"Parque Chacabuco 2 amb.en pozo Av.B.Centenera al 1900 29";"{\\address\\:\\Av. del B.Centenera  1900\\,\\year\\:2013,\\original_url\\:\\http://www.tuportalonline.com/propiedades/parque-chacabuco-venta-ph-2-ambientes-17598\\,\\images\\:[\\http://www.inmomap.com.ar/fotos/1440383472_14403834729fcb873948057cec6ad05e17123ee66a.jpg\\,\\http://www.inmomap.com.ar/fotos/1440383487_1440383487f3ccdd27d2000e3f9255a7e3e2c48800.jpg\\,\\http://www.inmomap.com.ar/fotos/1440383503_1440383503156005c5baf40ff51a327f1c34f2975b.jpg\\,\\http://www.inmomap.com.ar/fotos/1440383522_1440383522799bad5a3b514f096e69bbc4a7896cd9.jpg\\,\\http://www.inmomap.com.ar/fotos/1440383538_1440383538d0096ec6c83575373e3a21d129ff8fef.jpg\\],\\features\\:{\\CANTIDAD DE PLANTAS 1\\:true,\\ANTIGUEDAD : 0\\:true},\\is_new\\:true,\\parking\\:true,\\original_ad\\:{\\original_property_type\\:\\ph\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2015
"2019";"Parque Chacabuco";"|Argentina|Capital Federal|Parque Chacabuco|";"3430116";"-34.6323092529,-58.4495155476";89000;"USD";1421196,5;89000;"NA";1589,285714;"2";"3";"1080";"DEPARTAMENTO EN VENTA";"NA";"56";"56";"1589.2857140000001";"103c4f1cb2b51e6315a0ce5a43aa81f965f2ecba";"Argentina";"Capital Federal";2015
"2020";"Caballito";"|Argentina|Capital Federal|Caballito|";"3435874";"-34.6371994,-58.4391556";90000;"USD";818541;90000;"40";2250;"NA";"1";"NA";"Departamento de un ambiente con amenities";"{\\images\\:[\\https://tbcn.s3.amazonaws.com/pictures/35559368830353854082584484187402746627974755864137521144673738712407666463398.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/65894728914798963133627118780280950594404328271109457935641450297751090002096.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/65446920234764845304707827602522890441151516768262724983274298045771685248292.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/47063802246476817561699622201732231486265168420681622882413070392199206318535.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/58965734106758595465547820358331680936879862212729980944210539706647870543243.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/2021308495365482736154997848845630977339802116593091552461949029544927720650.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/10395260109378877345738176660353071955670819088397341192318884274114249290615.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/99736818836693263338989113017012846957840320765293105399616089887838938521060.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/98219608188112899312566699600006834312465587549846262298750198903862359958607.jpg\\,\\https://tbcn.s3.amazonaws.com/pictures/67491456616804086249986393642338909165033190829275898292935010334700766782921.jpg\\],\\features\\:{\\Balcon\\:true,\\Aire acondicionado\\:true,\\Calefaccion\\:true,\\Parrilla\\:true,\\Solarium\\:true,\\SUM\\:true,\\Seguridad\\:true,\\Apto profesional\\:true,\\Piscina\\:true,\\Cocina Americana\\:true,\\Luminoso\\:true},\\original_ad\\:{\\created_at\\:\\2014-09-15T20:36:49\\,\\custom1\\:\\0.00\\,\\deleted_at\\:\\2015-06-17T18:40:06\\,\\development_excel_extra_data\\:\\[]\\,\\expenses\\:1000,\\fake_address\\:\\Dr. Nicolas Repetto 1000\\,\\legally_checked\\:\\Desconocido\\,\\location\\:{\\divisions\\:[{\\id\\:24691,\\name\\:\\Caballito Norte\\,\\resource_uri\\:\\/api/v1/location/24691/\\},{\\id\\:24692,\\name\\:\\Caballito Sur\\,\\resource_uri\\:\\/api/v1/location/24692/\\},{\\id\\:24693,\\name\\:\\Cid Campeador\\,\\resource_uri\\:\\/api/v1/location/24693/\\},{\\id\\:24694,\\name\\:\\P.Junta\\,\\resource_uri\\:\\/api/v1/location/24694/\\},{\\id\\:24695,\\name\\:\\P.Lezica\\,\\resource_uri\\:\\/api/v1/location/24695/\\},{\\id\\:24696,\\name\\:\\P.Rivadavia\\,\\resource_uri\\:\\/api/v1/location/24696/\\}],\\full_location\\:\\Argentina | Capital Federal | Caballito \\,\\id\\:24690,\\name\\:\\Caballito\\,\\short_location\\:\\Argentina | Capital Federal | Caballito \\,\\state\\:\\/api/v1/state/146/\\},\\operations\\:[{\\operation_type\\:\\Venta\\,\\prices\\:[{\\currency\\:\\USD\\,\\price\\:90000}]},{\\operation_type\\:\\Alquiler\\,\\prices\\:[{\\currency\\:\\ARS\\,\\price\\:4000}]}],\\property_condition\\:\\---\\,\\real_address\\:\\Dr. Nicolas Reppeto 1041 2do. \\\39\\\\\,\\reference_code\\:\\WAP53248\\,\\resource_uri\\:\\/api/v1/property/53248/\\,\\semiroofed_surface\\:\\7.00\\,\\situation\\:\\Vacia \\,\\total_surface\\:\\40.00\\,\\type\\:{\\code\\:\\AP\\,\\id\\:2,\\name\\:\\Departamento\\},\\original_property_type\\:{\\code\\:\\AP\\,\\id\\:2,\\name\\:\\Departamento\\}},\\address\\:\\Dr. Nicolas Repetto 1000\\,\\year\\:1}";"NA";"NA";"NA";"NA";"NA";"NA";2015
