"";"id_usuario";"genero_usuario";"edad_usuario";"fecha_alta";"hora_alta"
"915";1085093;"FEMALE";49;"2024-01-02";"20:07:20"
"917";1084745;"FEMALE";45;"2024-01-02";"13:47:35"
"935";1084147;"FEMALE";50;"2024-01-01";"16:33:58"
"937";1084350;"FEMALE";43;"2024-01-01";"18:47:39"
"943";1085273;"FEMALE";49;"2024-01-03";"08:47:00"
"964";1084201;"FEMALE";66;"2024-01-01";"17:08:09"
"967";1085570;"FEMALE";68;"2024-01-03";"15:59:39"
"968";1085583;"FEMALE";51;"2024-01-03";"16:17:13"
"986";1085750;"FEMALE";55;"2024-01-03";"18:59:20"
"1022";1102843;"FEMALE";56;"2024-01-29";"18:28:53"
"1036";1104615;"FEMALE";45;"2024-02-02";"18:52:45"
"1047";1092566;"FEMALE";45;"2024-01-15";"00:05:23"
"1070";1105649;"FEMALE";60;"2024-02-05";"08:44:27"
"1094";1105746;"FEMALE";47;"2024-02-05";"12:52:03"
"1106";1105924;"FEMALE";42;"2024-02-05";"17:47:45"
"1108";1084246;"FEMALE";51;"2024-01-01";"17:33:32"
"1113";1105953;"FEMALE";43;"2024-02-05";"18:27:52"
"1121";1106018;"FEMALE";54;"2024-02-05";"19:41:48"
"1126";1105350;"FEMALE";53;"2024-02-04";"17:07:28"
"1137";1086970;"FEMALE";50;"2024-01-05";"16:42:49"
"1144";1106349;"FEMALE";44;"2024-02-06";"12:19:13"
"1160";1106510;"FEMALE";42;"2024-02-06";"16:25:10"
"1162";1104193;"FEMALE";47;"2024-02-01";"18:07:50"
"1168";1106263;"FEMALE";47;"2024-02-06";"09:11:28"
"1169";1103014;"FEMALE";47;"2024-01-29";"23:04:26"
"1188";1106717;"FEMALE";49;"2024-02-06";"21:12:26"
"1192";1091131;"FEMALE";41;"2024-01-12";"19:57:25"
"1203";1106808;"FEMALE";42;"2024-02-06";"23:57:48"
"1208";1099806;"FEMALE";41;"2024-01-24";"23:27:17"
"1237";1107239;"FEMALE";44;"2024-02-07";"18:44:34"
"1244";1107253;"FEMALE";41;"2024-02-07";"18:53:32"
"1258";1100242;"FEMALE";46;"2024-01-25";"17:34:03"
"1262";1107331;"FEMALE";43;"2024-02-07";"20:28:15"
"1268";1100403;"FEMALE";43;"2024-01-25";"19:49:02"
"1273";1107247;"FEMALE";52;"2024-02-07";"18:50:37"
"1281";1104312;"FEMALE";48;"2024-02-01";"22:18:11"
"1317";1106095;"FEMALE";57;"2024-02-05";"21:33:12"
"1348";1108118;"FEMALE";47;"2024-02-09";"09:45:13"
"1349";1108127;"FEMALE";42;"2024-02-09";"10:13:42"
"1351";1108130;"FEMALE";71;"2024-02-09";"10:24:33"
"1366";1108294;"FEMALE";48;"2024-02-09";"15:49:40"
"1376";1098692;"FEMALE";70;"2024-01-23";"22:00:10"
"1397";1098145;"FEMALE";54;"2024-01-23";"12:31:43"
"1411";1108612;"FEMALE";53;"2024-02-10";"13:49:16"
"1412";1104477;"FEMALE";52;"2024-02-02";"12:59:29"
"1418";1108694;"FEMALE";44;"2024-02-10";"15:44:17"
"1435";1103415;"FEMALE";68;"2024-01-30";"19:35:30"
"1441";1108885;"FEMALE";75;"2024-02-10";"22:52:51"
"1445";1108898;"FEMALE";43;"2024-02-10";"23:51:55"
"1460";1101935;"FEMALE";43;"2024-01-28";"14:37:03"
"1472";1109130;"FEMALE";58;"2024-02-11";"12:54:51"
"1495";1109087;"FEMALE";45;"2024-02-11";"12:01:16"
"1499";1109433;"FEMALE";42;"2024-02-11";"19:32:09"
"1514";1108204;"FEMALE";44;"2024-02-09";"12:53:29"
"1518";1109534;"FEMALE";54;"2024-02-11";"22:36:18"
"1565";1109655;"FEMALE";51;"2024-02-12";"13:12:13"
"1575";1109699;"FEMALE";53;"2024-02-12";"14:48:56"
"1587";1091708;"FEMALE";54;"2024-01-13";"18:19:49"
"1591";1110149;"FEMALE";73;"2024-02-13";"11:12:45"
"1607";1108843;"FEMALE";50;"2024-02-10";"20:00:52"
"1617";1110461;"FEMALE";84;"2024-02-13";"15:38:54"
"1627";1099499;"FEMALE";51;"2024-01-24";"19:00:31"
"1631";1110577;"FEMALE";56;"2024-02-13";"16:51:48"
"1635";1110566;"FEMALE";44;"2024-02-13";"16:43:27"
"1639";1110188;"FEMALE";43;"2024-02-13";"12:05:51"
"1642";1110426;"FEMALE";48;"2024-02-13";"15:10:34"
"1647";1110286;"FEMALE";53;"2024-02-13";"13:15:57"
"1678";1110699;"FEMALE";43;"2024-02-13";"18:12:54"
"1689";1110708;"FEMALE";45;"2024-02-13";"18:21:18"
"1697";1103649;"FEMALE";78;"2024-01-31";"11:25:16"
"1703";1110967;"FEMALE";70;"2024-02-14";"05:49:33"
"1704";1107775;"FEMALE";58;"2024-02-08";"17:37:09"
"1721";1110041;"FEMALE";42;"2024-02-13";"01:47:00"
"1727";1110615;"FEMALE";62;"2024-02-13";"17:21:53"
"1746";1111282;"FEMALE";54;"2024-02-14";"15:40:02"
"1750";1111319;"FEMALE";54;"2024-02-14";"16:14:24"
"1757";1108561;"FEMALE";46;"2024-02-10";"12:01:53"
"1761";1111280;"FEMALE";42;"2024-02-14";"15:39:35"
"1778";1105130;"FEMALE";42;"2024-02-04";"12:18:18"
"1792";1111433;"FEMALE";53;"2024-02-14";"17:53:59"
"1826";1094103;"FEMALE";44;"2024-01-17";"16:49:38"
"1850";1085151;"FEMALE";45;"2024-01-02";"21:30:23"
"1864";1112217;"FEMALE";44;"2024-02-15";"19:01:43"
"1867";1112350;"FEMALE";54;"2024-02-15";"22:10:22"
"1868";1112347;"FEMALE";54;"2024-02-15";"22:07:44"
"1871";1105823;"FEMALE";44;"2024-02-05";"15:14:35"
"1872";1112375;"FEMALE";47;"2024-02-15";"23:21:18"
"1873";1109490;"FEMALE";49;"2024-02-11";"20:44:55"
"1877";1112394;"FEMALE";55;"2024-02-16";"00:16:18"
"1881";1092920;"FEMALE";41;"2024-01-15";"16:26:56"
"1883";1108379;"FEMALE";42;"2024-02-09";"18:08:32"
"1891";1111960;"FEMALE";45;"2024-02-15";"14:46:42"
"1923";1104836;"FEMALE";49;"2024-02-03";"14:18:57"
"1924";1106031;"FEMALE";51;"2024-02-05";"20:00:28"
"1926";1111918;"FEMALE";54;"2024-02-15";"13:45:19"
"1931";1112196;"FEMALE";54;"2024-02-15";"18:36:31"
"1962";1113121;"FEMALE";54;"2024-02-17";"12:12:57"
"2015";1113527;"FEMALE";51;"2024-02-17";"21:43:01"
"2017";1113423;"FEMALE";46;"2024-02-17";"18:43:47"
"2018";1112628;"FEMALE";51;"2024-02-16";"13:57:08"
"2025";1109912;"FEMALE";49;"2024-02-12";"19:06:52"
"2029";1113572;"FEMALE";46;"2024-02-18";"00:07:09"
"2054";1113512;"FEMALE";54;"2024-02-17";"20:47:37"
"2072";1109149;"FEMALE";41;"2024-02-11";"13:21:34"
"2078";1113780;"FEMALE";51;"2024-02-18";"14:13:46"
"2080";1110763;"FEMALE";55;"2024-02-13";"19:07:00"
"2090";1114023;"FEMALE";51;"2024-02-18";"18:30:54"
"2119";1110675;"FEMALE";57;"2024-02-13";"17:55:35"
"2124";1113526;"FEMALE";73;"2024-02-17";"21:38:00"
"2125";1113027;"FEMALE";49;"2024-02-17";"07:32:01"
"2135";1105581;"FEMALE";45;"2024-02-04";"23:20:26"
"2162";1114528;"FEMALE";46;"2024-02-19";"16:53:40"
"2163";1106089;"FEMALE";43;"2024-02-05";"21:22:56"
"2168";1100199;"FEMALE";67;"2024-01-25";"16:44:16"
"2193";1114784;"FEMALE";47;"2024-02-19";"22:33:56"
"2196";1102839;"FEMALE";49;"2024-01-29";"18:25:24"
"2215";1114592;"FEMALE";52;"2024-02-19";"18:04:53"
"2233";1115034;"FEMALE";41;"2024-02-20";"14:35:23"
"2238";1111215;"FEMALE";43;"2024-02-14";"14:33:42"
"2241";1114983;"FEMALE";61;"2024-02-20";"13:06:39"
"2252";1113818;"FEMALE";48;"2024-02-18";"15:10:20"
"2255";1111312;"FEMALE";42;"2024-02-14";"16:06:55"
"2271";1115256;"FEMALE";60;"2024-02-20";"19:03:44"
"2272";1106689;"FEMALE";54;"2024-02-06";"20:21:49"
"2273";1115285;"FEMALE";51;"2024-02-20";"19:27:54"
"2286";1101967;"FEMALE";64;"2024-01-28";"15:11:42"
"2320";1089074;"FEMALE";44;"2024-01-09";"13:29:51"
"2323";1112006;"FEMALE";74;"2024-02-15";"15:41:15"
"2325";1115468;"FEMALE";54;"2024-02-21";"07:23:13"
"2391";1108768;"FEMALE";63;"2024-02-10";"18:00:28"
"2401";1116289;"FEMALE";47;"2024-02-22";"14:49:16"
"2406";1085255;"FEMALE";52;"2024-01-03";"07:52:49"
"2423";1116016;"FEMALE";54;"2024-02-22";"00:08:58"
"2424";1086688;"FEMALE";44;"2024-01-05";"09:30:16"
"2426";1116468;"FEMALE";50;"2024-02-22";"19:16:07"
"2435";1116491;"FEMALE";51;"2024-02-22";"19:49:07"
"2465";1116782;"FEMALE";42;"2024-02-23";"12:53:46"
"2501";1116826;"FEMALE";48;"2024-02-23";"14:12:35"
"2503";1104241;"FEMALE";48;"2024-02-01";"19:55:14"
"2571";1117472;"FEMALE";49;"2024-02-24";"17:09:25"
"2574";1117275;"FEMALE";49;"2024-02-24";"12:36:18"
"2596";1117541;"FEMALE";64;"2024-02-24";"18:32:11"
"2613";1117172;"FEMALE";44;"2024-02-24";"03:43:00"
"2637";1087527;"FEMALE";53;"2024-01-06";"17:16:25"
"2650";1117926;"FEMALE";48;"2024-02-25";"15:06:58"
"2655";1117957;"FEMALE";57;"2024-02-25";"15:51:03"
"2663";1117876;"FEMALE";46;"2024-02-25";"14:19:54"
"2670";1115302;"FEMALE";54;"2024-02-20";"19:45:37"
"2675";1117862;"FEMALE";46;"2024-02-25";"14:04:21"
"2682";1117988;"FEMALE";54;"2024-02-25";"16:43:38"
"2685";1117983;"FEMALE";41;"2024-02-25";"16:34:16"
"2707";1118136;"FEMALE";52;"2024-02-25";"22:03:03"
"2708";1114951;"FEMALE";50;"2024-02-20";"12:14:46"
"2715";1117756;"FEMALE";50;"2024-02-25";"11:11:30"
"2729";1118289;"FEMALE";49;"2024-02-26";"15:35:10"
"2745";1090235;"FEMALE";41;"2024-01-11";"14:55:00"
"2770";1118649;"FEMALE";43;"2024-02-27";"10:58:07"
"2775";1093189;"FEMALE";50;"2024-01-15";"21:35:50"
"2783";1114048;"FEMALE";47;"2024-02-18";"18:52:09"
"2794";1084139;"FEMALE";41;"2024-01-01";"16:28:15"
"2800";1103910;"FEMALE";43;"2024-01-31";"20:13:10"
"2845";1086199;"FEMALE";54;"2024-01-04";"14:37:09"
"2869";1086156;"FEMALE";43;"2024-01-04";"13:15:20"
"2871";1086497;"FEMALE";44;"2024-01-04";"19:33:26"
"2872";1086505;"FEMALE";42;"2024-01-04";"19:42:02"
"2883";1086645;"FEMALE";62;"2024-01-05";"03:04:31"
"2893";1086217;"FEMALE";51;"2024-01-04";"14:57:14"
"2910";1086936;"FEMALE";54;"2024-01-05";"16:06:54"
"2911";1086924;"FEMALE";54;"2024-01-05";"15:45:01"
"2914";1086679;"FEMALE";53;"2024-01-05";"09:06:35"
"2945";1086316;"FEMALE";45;"2024-01-04";"16:42:19"
"2954";1087243;"FEMALE";56;"2024-01-06";"08:31:46"
"2967";1087365;"FEMALE";42;"2024-01-06";"13:53:07"
"2972";1087049;"FEMALE";44;"2024-01-05";"18:27:53"
"2986";1087549;"FEMALE";41;"2024-01-06";"17:39:05"
"3004";1087713;"FEMALE";43;"2024-01-06";"21:33:58"
"3031";1087881;"FEMALE";76;"2024-01-07";"10:52:21"
"3039";1086957;"FEMALE";48;"2024-01-05";"16:28:01"
"3067";1087590;"FEMALE";54;"2024-01-06";"18:09:53"
"3076";1103976;"FEMALE";46;"2024-01-31";"22:39:26"
"3080";1119126;"FEMALE";66;"2024-02-27";"23:52:49"
"3084";1106914;"FEMALE";46;"2024-02-07";"09:12:23"
"3097";1119113;"FEMALE";54;"2024-02-27";"22:47:32"
"3103";1119267;"FEMALE";43;"2024-02-28";"12:26:02"
"3133";1098533;"FEMALE";47;"2024-01-23";"18:35:34"
"3136";1119450;"FEMALE";43;"2024-02-28";"17:27:14"
"3142";1108198;"FEMALE";42;"2024-02-09";"12:46:40"
"3157";1115069;"FEMALE";51;"2024-02-20";"15:19:34"
"3166";1116147;"FEMALE";56;"2024-02-22";"11:23:16"
"3173";1102956;"FEMALE";50;"2024-01-29";"20:48:01"
"3181";1119749;"FEMALE";60;"2024-02-29";"09:53:48"
"3184";1119723;"FEMALE";51;"2024-02-29";"08:16:32"
"3203";1119904;"FEMALE";49;"2024-02-29";"14:35:37"
"3207";1119335;"FEMALE";54;"2024-02-28";"14:45:13"
"3224";1120045;"FEMALE";44;"2024-02-29";"18:32:48"
"3226";1085977;"FEMALE";53;"2024-01-04";"06:47:58"
"3231";1119487;"FEMALE";50;"2024-02-28";"18:07:11"
"3237";1120119;"FEMALE";54;"2024-02-29";"21:13:07"
"3246";1118185;"FEMALE";48;"2024-02-26";"08:53:53"
"3255";1120156;"FEMALE";45;"2024-02-29";"23:29:46"
"3273";1083737;"FEMALE";42;"2024-01-01";"11:18:17"
"3303";1084110;"FEMALE";58;"2024-01-01";"16:08:38"
"3316";1084185;"FEMALE";49;"2024-01-01";"17:00:18"
"3336";1084436;"FEMALE";46;"2024-01-01";"20:48:23"
"3344";1084506;"FEMALE";44;"2024-01-02";"06:29:37"
"3426";1084955;"FEMALE";61;"2024-01-02";"17:33:15"
"3437";1085419;"FEMALE";42;"2024-01-03";"12:48:39"
"3495";1085877;"FEMALE";57;"2024-01-03";"22:11:55"
"3497";1085926;"FEMALE";45;"2024-01-04";"00:08:08"
"3530";1086317;"FEMALE";41;"2024-01-04";"16:42:56"
"3541";1086306;"FEMALE";46;"2024-01-04";"16:36:39"
"3552";1086578;"FEMALE";44;"2024-01-04";"22:36:36"
"3553";1086587;"FEMALE";45;"2024-01-04";"23:10:39"
"3565";1086723;"FEMALE";50;"2024-01-05";"10:48:27"
"3602";1086982;"FEMALE";50;"2024-01-05";"16:59:09"
"3617";1086533;"FEMALE";55;"2024-01-04";"20:26:18"
"3647";1087065;"FEMALE";46;"2024-01-05";"18:39:39"
"3654";1085768;"FEMALE";51;"2024-01-03";"19:17:24"
"3661";1087508;"FEMALE";44;"2024-01-06";"16:56:54"
"3667";1087563;"FEMALE";46;"2024-01-06";"17:48:47"
"3669";1087561;"FEMALE";54;"2024-01-06";"17:45:56"
"3686";1087680;"FEMALE";42;"2024-01-06";"20:25:25"
"3706";1087687;"FEMALE";45;"2024-01-06";"20:39:47"
"3744";1087967;"FEMALE";62;"2024-01-07";"12:50:42"
"3750";1088142;"FEMALE";46;"2024-01-07";"22:51:59"
"3766";1088323;"FEMALE";41;"2024-01-08";"12:04:36"
"3770";1088327;"FEMALE";47;"2024-01-08";"12:16:57"
"3783";1088580;"FEMALE";44;"2024-01-08";"17:23:07"
"3795";1088350;"FEMALE";45;"2024-01-08";"12:41:27"
"3805";1088648;"FEMALE";51;"2024-01-08";"18:43:53"
"3825";1088932;"FEMALE";54;"2024-01-09";"07:43:55"
"3866";1089360;"FEMALE";53;"2024-01-09";"19:56:09"
"3873";1089400;"FEMALE";50;"2024-01-09";"20:46:15"
"3878";1085537;"FEMALE";48;"2024-01-03";"15:16:48"
"3881";1089427;"FEMALE";52;"2024-01-09";"21:43:53"
"3885";1089473;"FEMALE";45;"2024-01-09";"23:27:36"
"3890";1089430;"FEMALE";45;"2024-01-09";"21:45:54"
"3892";1084157;"FEMALE";54;"2024-01-01";"16:40:39"
"3921";1089794;"FEMALE";44;"2024-01-10";"16:36:02"
"3931";1089643;"FEMALE";47;"2024-01-10";"12:11:45"
"3936";1089909;"FEMALE";47;"2024-01-10";"19:57:57"
"3944";1089959;"FEMALE";56;"2024-01-10";"22:15:07"
"3956";1090052;"FEMALE";50;"2024-01-11";"09:07:42"
"3959";1088234;"FEMALE";48;"2024-01-08";"09:58:50"
"3967";1089477;"FEMALE";52;"2024-01-09";"23:32:57"
"3982";1089448;"FEMALE";48;"2024-01-09";"22:46:29"
"3991";1090404;"FEMALE";54;"2024-01-11";"18:08:58"
"3992";1089068;"FEMALE";43;"2024-01-09";"13:25:32"
"3998";1086354;"FEMALE";56;"2024-01-04";"17:25:45"
"4002";1090363;"FEMALE";52;"2024-01-11";"17:23:57"
"4013";1085165;"FEMALE";54;"2024-01-02";"22:33:27"
"4070";1084400;"FEMALE";48;"2024-01-01";"19:43:43"
"4086";1090440;"FEMALE";72;"2024-01-11";"18:45:55"
"4089";1091296;"FEMALE";43;"2024-01-13";"09:54:55"
"4135";1091509;"FEMALE";43;"2024-01-13";"14:53:09"
"4143";1091637;"FEMALE";42;"2024-01-13";"17:23:17"
"4159";1091722;"FEMALE";54;"2024-01-13";"18:34:16"
"4180";1091212;"FEMALE";49;"2024-01-12";"23:26:10"
"4186";1091797;"FEMALE";54;"2024-01-13";"20:10:44"
"4206";1086903;"FEMALE";54;"2024-01-05";"15:18:45"
"4224";1092532;"FEMALE";62;"2024-01-14";"21:29:03"
"4242";1092330;"FEMALE";43;"2024-01-14";"18:02:07"
"4259";1084891;"FEMALE";54;"2024-01-02";"16:24:59"
"4265";1090521;"FEMALE";47;"2024-01-11";"20:25:16"
"4269";1092892;"FEMALE";43;"2024-01-15";"16:00:14"
"4305";1093143;"FEMALE";46;"2024-01-15";"20:01:54"
"4341";1093642;"FEMALE";56;"2024-01-16";"22:31:54"
"4353";1089222;"FEMALE";45;"2024-01-09";"17:20:55"
"4389";1086741;"FEMALE";45;"2024-01-05";"11:24:48"
"4398";1093439;"FEMALE";54;"2024-01-16";"16:49:19"
"4409";1092324;"FEMALE";43;"2024-01-14";"17:55:42"
"4415";1094229;"FEMALE";44;"2024-01-17";"18:57:27"
"4432";1085765;"FEMALE";45;"2024-01-03";"19:13:02"
"4441";1094662;"FEMALE";64;"2024-01-18";"14:28:54"
"4451";1094676;"FEMALE";54;"2024-01-18";"14:42:58"
"4452";1094717;"FEMALE";54;"2024-01-18";"15:40:14"
"4456";1094827;"FEMALE";41;"2024-01-18";"17:46:50"
"4471";1094940;"FEMALE";52;"2024-01-18";"20:20:49"
"4480";1091283;"FEMALE";51;"2024-01-13";"08:37:03"
"4488";1095122;"FEMALE";54;"2024-01-19";"11:25:49"
"4506";1092082;"FEMALE";47;"2024-01-14";"13:35:36"
"4518";1095282;"FEMALE";41;"2024-01-19";"15:32:56"
"4541";1095532;"FEMALE";44;"2024-01-19";"21:05:05"
"4557";1095751;"FEMALE";51;"2024-01-20";"12:19:07"
"4561";1095702;"FEMALE";54;"2024-01-20";"10:56:51"
"4576";1093659;"FEMALE";45;"2024-01-16";"23:28:53"
"4580";1095964;"FEMALE";57;"2024-01-20";"16:52:52"
"4621";1093928;"FEMALE";50;"2024-01-17";"13:27:38"
"4650";1096547;"FEMALE";47;"2024-01-21";"13:58:59"
"4652";1096423;"FEMALE";54;"2024-01-21";"11:14:24"
"4653";1096535;"FEMALE";43;"2024-01-21";"13:48:00"
"4662";1096579;"FEMALE";45;"2024-01-21";"14:29:10"
"4672";1095677;"FEMALE";79;"2024-01-20";"10:05:05"
"4696";1096604;"FEMALE";42;"2024-01-21";"14:43:30"
"4704";1091244;"FEMALE";44;"2024-01-13";"01:06:07"
"4708";1097018;"FEMALE";46;"2024-01-21";"19:31:12"
"4710";1096975;"FEMALE";58;"2024-01-21";"18:53:43"
"4727";1087791;"FEMALE";41;"2024-01-07";"02:21:40"
"4745";1094133;"FEMALE";45;"2024-01-17";"17:27:07"
"4747";1097253;"FEMALE";59;"2024-01-22";"10:54:21"
"4748";1095543;"FEMALE";45;"2024-01-19";"21:27:11"
"4749";1097308;"FEMALE";55;"2024-01-22";"12:21:07"
"4750";1097227;"FEMALE";45;"2024-01-22";"10:15:26"
"4754";1097329;"FEMALE";41;"2024-01-22";"12:41:53"
"4771";1097554;"FEMALE";52;"2024-01-22";"16:40:21"
"4789";1097514;"FEMALE";42;"2024-01-22";"16:03:05"
"4790";1097755;"FEMALE";50;"2024-01-22";"19:29:09"
"4791";1092925;"FEMALE";44;"2024-01-15";"16:34:26"
"4797";1097827;"FEMALE";54;"2024-01-22";"20:30:19"
"4816";1098095;"FEMALE";80;"2024-01-23";"11:15:55"
"4851";1084935;"FEMALE";57;"2024-01-02";"17:08:39"
"4854";1098390;"FEMALE";43;"2024-01-23";"16:38:47"
"4862";1084815;"FEMALE";49;"2024-01-02";"15:20:20"
"4873";1098291;"FEMALE";45;"2024-01-23";"15:11:09"
"4877";1097889;"FEMALE";50;"2024-01-22";"22:03:19"
"4878";1097738;"FEMALE";57;"2024-01-22";"19:14:08"
"4883";1098461;"FEMALE";48;"2024-01-23";"17:30:07"
"4921";1099196;"FEMALE";49;"2024-01-24";"15:26:35"
"4927";1098043;"FEMALE";50;"2024-01-23";"09:46:04"
"4932";1099261;"FEMALE";51;"2024-01-24";"16:24:03"
"4944";1098309;"FEMALE";48;"2024-01-23";"15:27:17"
"4959";1088222;"FEMALE";44;"2024-01-08";"09:19:41"
"4996";1099833;"FEMALE";44;"2024-01-25";"00:33:14"
"5006";1096420;"FEMALE";50;"2024-01-21";"11:11:41"
"5010";1099105;"FEMALE";42;"2024-01-24";"13:58:20"
"5014";1100019;"FEMALE";54;"2024-01-25";"12:16:40"
"5047";1100323;"FEMALE";54;"2024-01-25";"18:40:01"
"5052";1092695;"FEMALE";46;"2024-01-15";"11:41:49"
"5064";1100330;"FEMALE";61;"2024-01-25";"18:48:13"
"5069";1100395;"FEMALE";41;"2024-01-25";"19:44:13"
"5083";1089923;"FEMALE";51;"2024-01-10";"20:35:39"
"5085";1095027;"FEMALE";41;"2024-01-19";"01:25:06"
"5086";1095506;"FEMALE";73;"2024-01-19";"20:10:25"
"5143";1088399;"FEMALE";54;"2024-01-08";"13:47:09"
"5147";1085416;"FEMALE";41;"2024-01-03";"12:47:29"
"5148";1088359;"FEMALE";65;"2024-01-08";"12:59:04"
"5165";1086148;"FEMALE";42;"2024-01-04";"12:52:28"
"5181";1088742;"FEMALE";43;"2024-01-08";"20:03:25"
"5186";1088789;"FEMALE";54;"2024-01-08";"21:09:11"
"5188";1088224;"FEMALE";54;"2024-01-08";"09:32:31"
"5189";1088373;"FEMALE";56;"2024-01-08";"13:11:13"
"5207";1088620;"FEMALE";56;"2024-01-08";"18:05:30"
"5212";1089054;"FEMALE";47;"2024-01-09";"12:52:36"
"5219";1089110;"FEMALE";51;"2024-01-09";"14:38:57"
"5229";1086366;"FEMALE";60;"2024-01-04";"17:36:57"
"5239";1086920;"FEMALE";51;"2024-01-05";"15:39:06"
"5248";1089247;"FEMALE";54;"2024-01-09";"17:44:47"
"5254";1089343;"FEMALE";42;"2024-01-09";"19:39:45"
"5271";1089467;"FEMALE";52;"2024-01-09";"23:19:48"
"5347";1085661;"FEMALE";41;"2024-01-03";"17:23:16"
"5357";1085038;"FEMALE";54;"2024-01-02";"19:04:43"
"5395";1088029;"FEMALE";49;"2024-01-07";"14:36:56"
"5402";1089954;"FEMALE";54;"2024-01-10";"21:55:07"
"5410";1090774;"FEMALE";48;"2024-01-12";"12:38:46"
"5422";1086687;"FEMALE";52;"2024-01-05";"09:29:53"
"5424";1090952;"FEMALE";47;"2024-01-12";"16:40:36"
"5440";1091060;"FEMALE";41;"2024-01-12";"18:28:29"
"5443";1088882;"FEMALE";44;"2024-01-09";"00:44:53"
"5444";1090522;"FEMALE";47;"2024-01-11";"20:26:27"
"5456";1091220;"FEMALE";43;"2024-01-12";"23:40:08"
"5464";1091284;"FEMALE";42;"2024-01-13";"08:46:44"
"5469";1091362;"FEMALE";43;"2024-01-13";"11:55:45"
"5477";1089274;"FEMALE";54;"2024-01-09";"18:11:22"
"5480";1090787;"FEMALE";53;"2024-01-12";"12:55:13"
"5488";1091437;"FEMALE";45;"2024-01-13";"13:30:20"
